admin1Pcode,admin2Pcode,year,area_planted_rai,area_harvested_rai,production_ton,yield_planted_kg_rai,yield_harvest_kg_rai
TH10,TH1003,2012,66777,66521,45101,675,678
TH10,TH1003,2013,66490,66174,44800,674,677
TH10,TH1003,2014,59422,59395,39438,664,664
TH10,TH1003,2015,51256,49434,33467,653,677
TH10,TH1003,2016,53404,52884,34903,654,660
TH10,TH1003,2017,51952,51432,34511,664,671
TH10,TH1003,2018,50043,49834,33189,663,666
TH10,TH1003,2020,51120,51100,34850,682,682
TH10,TH1005,2012,915,897,509,556,567
TH10,TH1005,2013,1022,1022,585,572,572
TH10,TH1005,2014,743,743,418,563,563
TH10,TH1005,2015,662,662,371,560,560
TH10,TH1005,2016,743,743,461,620,620
TH10,TH1005,2017,635,635,409,644,644
TH10,TH1005,2018,544,544,325,597,597
TH10,TH1005,2020,470,470,320,681,681
TH10,TH1010,2012,4135,4063,2917,705,718
TH10,TH1010,2013,3873,3805,2721,703,715
TH10,TH1010,2014,3332,3326,2358,708,709
TH10,TH1010,2015,2745,2745,1916,698,698
TH10,TH1010,2016,2976,2956,2031,682,687
TH10,TH1010,2017,2810,2790,1947,693,698
TH10,TH1010,2018,2034,2029,1428,702,704
TH10,TH1010,2020,2795,2795,1937,693,693
TH10,TH1011,2012,15863,15689,10261,647,654
TH10,TH1011,2013,15638,15599,10171,650,652
TH10,TH1011,2014,12582,12582,8090,643,643
TH10,TH1011,2015,9256,9238,6005,649,650
TH10,TH1011,2016,12302,12246,7911,643,646
TH10,TH1011,2017,12168,12168,8359,687,687
TH10,TH1011,2018,11158,11158,7710,691,691
TH10,TH1011,2020,11690,11685,8121,695,695
TH10,TH1023,2013,117,117,79,678,678
TH10,TH1023,2014,136,136,89,654,654
TH10,TH1023,2015,80,80,52,650,650
TH10,TH1023,2016,73,73,47,644,644
TH10,TH1023,2018,54,54,34,630,630
TH10,TH1023,2020,106,106,58,547,547
TH10,TH1027,2016,10,10,7,700,700
TH10,TH1027,2017,20,20,14,700,700
TH10,TH1032,2013,62,62,40,651,651
TH10,TH1032,2014,62,62,39,629,629
TH10,TH1032,2015,62,62,38,613,613
TH10,TH1032,2016,62,62,38,613,613
TH10,TH1032,2017,62,62,39,629,629
TH10,TH1032,2018,62,62,36,581,581
TH10,TH1032,2020,90,90,62,689,689
TH10,TH1035,2012,20987,20060,12598,600,628
TH10,TH1035,2013,19164,18187,11531,602,634
TH10,TH1035,2014,14827,14827,9015,608,608
TH10,TH1035,2015,14518,14425,8727,601,605
TH10,TH1035,2016,12149,12056,7306,601,606
TH10,TH1035,2017,12235,12154,7487,612,616
TH10,TH1035,2018,13003,12929,7822,602,605
TH10,TH1035,2020,16614,16546,9845,593,595
TH10,TH1040,2013,36,36,24,679,679
TH10,TH1040,2014,36,36,24,667,667
TH10,TH1040,2016,43,43,28,651,651
TH10,TH1042,2012,2248,2225,1540,685,692
TH10,TH1042,2013,2019,1963,1353,670,689
TH10,TH1042,2014,2000,2000,1310,655,655
TH10,TH1042,2015,1523,1469,1002,658,682
TH10,TH1042,2016,1346,1330,876,651,659
TH10,TH1042,2017,1120,1120,703,628,628
TH10,TH1042,2018,931,931,596,640,640
TH10,TH1042,2020,1090,1090,732,672,672
TH10,TH1043,2012,392,385,275,702,714
TH10,TH1043,2013,325,325,231,711,711
TH10,TH1043,2014,367,367,252,687,687
TH10,TH1043,2015,108,108,75,694,694
TH10,TH1043,2016,173,173,119,688,688
TH10,TH1043,2017,218,218,146,670,670
TH10,TH1043,2018,240,240,163,679,679
TH10,TH1043,2020,45,45,31,689,689
TH10,TH1044,2012,385,378,263,683,696
TH10,TH1044,2013,397,397,277,698,698
TH10,TH1044,2014,251,251,171,681,681
TH10,TH1044,2015,189,189,124,656,656
TH10,TH1044,2016,155,155,101,652,652
TH10,TH1044,2017,59,59,39,661,661
TH10,TH1044,2018,104,104,69,663,663
TH10,TH1044,2020,90,90,63,700,700
TH10,TH1046,2012,21785,21572,14971,687,694
TH10,TH1046,2013,18187,17856,12499,687,700
TH10,TH1046,2014,16694,16688,11615,696,696
TH10,TH1046,2015,14277,14189,9734,682,686
TH10,TH1046,2016,16714,16509,11127,666,674
TH10,TH1046,2017,15383,15383,10260,667,667
TH10,TH1046,2018,15475,15443,10347,669,670
TH10,TH1046,2020,15110,15090,10276,680,681
TH10,TH1048,2012,802,790,525,655,665
TH10,TH1048,2013,1282,1282,873,681,681
TH10,TH1048,2014,884,884,576,652,652
TH10,TH1048,2015,624,624,412,660,660
TH10,TH1048,2016,885,885,582,658,658
TH10,TH1048,2017,836,836,556,665,665
TH10,TH1048,2018,497,497,308,620,620
TH10,TH1048,2020,495,495,331,669,669
TH10,TH1050,2013,33,33,22,677,677
TH11,TH1102,2012,36975,36829,29426,796,799
TH11,TH1102,2013,24585,24435,19597,797,802
TH11,TH1102,2014,28669,28594,22932,800,802
TH11,TH1102,2015,15802,15733,11611,735,738
TH11,TH1102,2016,14112,14009,10787,764,770
TH11,TH1102,2017,15283,15226,11450,749,752
TH11,TH1102,2018,14352,14331,10333,720,721
TH11,TH1103,2012,210,210,176,838,838
TH11,TH1103,2013,1873,1850,797,426,431
TH11,TH1103,2014,1973,1973,805,408,408
TH11,TH1103,2015,1785,1745,715,401,410
TH11,TH1103,2016,1861,1846,803,431,435
TH11,TH1103,2017,1464,1439,619,423,430
TH11,TH1103,2018,1671,1671,752,450,450
TH11,TH1106,2012,7954,7954,6443,810,810
TH11,TH1106,2013,7953,7913,6425,808,812
TH11,TH1106,2014,9720,9693,7590,781,783
TH11,TH1106,2015,5688,5536,4235,745,765
TH11,TH1106,2016,4656,4650,3501,752,753
TH11,TH1106,2017,5040,5033,3800,754,755
TH11,TH1106,2018,4149,4140,2915,703,704
TH11,TH1106,2020,4166,4158,3044,731,732
TH12,TH1201,2012,25,25,19,760,760
TH12,TH1201,2013,25,25,19,760,760
TH12,TH1201,2014,25,25,18,720,720
TH12,TH1201,2015,25,25,18,720,720
TH12,TH1201,2016,25,25,18,720,720
TH12,TH1201,2017,25,25,18,720,720
TH12,TH1201,2018,25,25,18,720,720
TH12,TH1201,2020,25,25,18,720,720
TH12,TH1202,2012,1699,1695,1219,717,719
TH12,TH1202,2013,1339,1339,969,724,724
TH12,TH1202,2014,1223,1223,857,701,701
TH12,TH1202,2015,1100,1100,750,682,682
TH12,TH1202,2016,1174,1174,790,673,673
TH12,TH1202,2017,1300,1300,896,689,689
TH12,TH1202,2018,960,960,643,670,670
TH12,TH1202,2020,900,900,622,691,691
TH12,TH1203,2012,18077,17960,13183,729,734
TH12,TH1203,2013,17023,16921,12674,745,749
TH12,TH1203,2014,14574,14574,10348,710,710
TH12,TH1203,2015,10050,10030,6740,671,672
TH12,TH1203,2016,11691,11614,7805,668,672
TH12,TH1203,2017,11764,11707,8136,692,695
TH12,TH1203,2018,10615,10598,7207,679,680
TH12,TH1203,2020,11636,11595,8314,715,717
TH12,TH1204,2012,20125,20022,14796,735,739
TH12,TH1204,2013,19021,18909,13974,735,739
TH12,TH1204,2014,18597,18420,12931,695,702
TH12,TH1204,2015,11739,11716,8084,689,690
TH12,TH1204,2016,12489,12345,8358,669,677
TH12,TH1204,2017,12633,12633,8742,692,692
TH12,TH1204,2018,9339,9322,6386,684,685
TH12,TH1204,2020,13069,13043,8987,688,689
TH12,TH1205,2012,73311,72503,52130,711,719
TH12,TH1205,2013,70855,70855,51441,726,726
TH12,TH1205,2014,63969,63969,44650,698,698
TH12,TH1205,2015,63745,63684,44642,700,701
TH12,TH1205,2016,59333,58844,40661,685,691
TH12,TH1205,2017,59914,59879,41077,686,686
TH12,TH1205,2018,61795,61751,41435,671,671
TH12,TH1205,2020,60243,60220,40889,679,679
TH12,TH1206,2012,6087,6005,4222,694,703
TH12,TH1206,2013,5305,5305,3772,711,711
TH12,TH1206,2014,3841,3841,2696,702,702
TH12,TH1206,2015,3091,3084,2143,693,695
TH12,TH1206,2016,3094,3071,2159,698,703
TH12,TH1206,2017,2570,2570,1853,721,721
TH12,TH1206,2018,2805,2805,1978,705,705
TH12,TH1206,2020,2931,2907,2035,694,700
TH13,TH1301,2012,17347,17297,12350,712,714
TH13,TH1301,2013,15638,15638,11197,716,716
TH13,TH1301,2014,18210,18165,12498,686,688
TH13,TH1301,2015,17302,17186,11686,675,680
TH13,TH1301,2016,16160,16062,10986,680,684
TH13,TH1301,2017,19392,19367,13363,689,690
TH13,TH1301,2018,19192,19177,13347,695,696
TH13,TH1301,2020,18546,18525,12986,700,701
TH13,TH1302,2012,57153,57153,42922,751,751
TH13,TH1302,2013,54256,54256,40638,749,749
TH13,TH1302,2014,50168,50168,36873,735,735
TH13,TH1302,2015,51539,51082,37647,730,737
TH13,TH1302,2016,50168,49681,36863,735,742
TH13,TH1302,2017,50478,50414,36903,731,732
TH13,TH1302,2018,50511,50465,37193,736,737
TH13,TH1302,2020,51604,51546,37165,720,721
TH13,TH1303,2012,11193,11193,8227,735,735
TH13,TH1303,2013,10217,10217,7591,743,743
TH13,TH1303,2014,8053,8053,5734,712,712
TH13,TH1303,2015,8233,8187,5796,704,708
TH13,TH1303,2016,8160,8085,5740,703,710
TH13,TH1303,2017,9274,9274,6687,721,721
TH13,TH1303,2018,9562,9562,7028,735,735
TH13,TH1303,2020,9409,9395,6764,719,720
TH13,TH1304,2012,64485,64485,45397,704,704
TH13,TH1304,2013,65115,65065,46587,715,716
TH13,TH1304,2014,62105,62011,41609,670,671
TH13,TH1304,2015,64499,64415,44446,689,690
TH13,TH1304,2016,65121,65086,44389,682,682
TH13,TH1304,2017,67086,67015,46575,694,695
TH13,TH1304,2018,60560,60545,41413,684,684
TH13,TH1304,2020,60141,60082,41276,686,687
TH13,TH1305,2012,75291,75291,61814,821,821
TH13,TH1305,2013,72403,72364,59266,819,819
TH13,TH1305,2014,68046,68046,49537,728,728
TH13,TH1305,2015,71092,70673,51097,719,723
TH13,TH1305,2016,68616,67962,48661,709,716
TH13,TH1305,2017,72252,72173,53408,739,740
TH13,TH1305,2018,63966,63914,44995,703,704
TH13,TH1305,2020,69350,69280,48496,699,700
TH13,TH1306,2012,87561,86781,60833,695,701
TH13,TH1306,2013,87116,86741,62020,712,715
TH13,TH1306,2014,84201,84125,56784,674,675
TH13,TH1306,2015,84293,84127,58468,694,695
TH13,TH1306,2016,82496,81963,56882,690,694
TH13,TH1306,2017,74411,74037,53307,716,720
TH13,TH1306,2018,76156,75828,54975,722,725
TH13,TH1306,2020,76511,76427,53575,700,701
TH13,TH1307,2012,25276,25276,18982,751,751
TH13,TH1307,2013,23286,23286,17441,749,749
TH13,TH1307,2014,22964,22964,16603,723,723
TH13,TH1307,2015,20502,20234,14447,705,714
TH13,TH1307,2016,20652,20440,14533,704,711
TH13,TH1307,2017,18291,18076,12924,707,715
TH13,TH1307,2018,19847,19788,14287,720,722
TH13,TH1307,2020,25676,25627,18349,715,716
TH14,TH1401,2012,25263,23772,15476,613,651
TH14,TH1401,2013,21370,21328,14226,666,667
TH14,TH1401,2014,22680,22484,14435,636,642
TH14,TH1401,2015,20846,20768,12772,613,615
TH14,TH1401,2016,21208,21129,13227,624,626
TH14,TH1401,2017,21728,21675,13785,634,636
TH14,TH1401,2018,24190,24135,16219,670,672
TH14,TH1401,2020,17773,17720,11872,668,670
TH14,TH1402,2012,54368,53861,35279,649,655
TH14,TH1402,2013,52699,52682,35666,677,677
TH14,TH1402,2014,49104,49104,32507,662,662
TH14,TH1402,2015,34795,33703,22278,640,661
TH14,TH1402,2016,43438,43421,29005,668,668
TH14,TH1402,2017,42246,41884,27434,649,655
TH14,TH1402,2018,48446,48361,32595,673,674
TH14,TH1403,2012,52143,51827,35450,680,684
TH14,TH1403,2013,53076,52775,36520,688,692
TH14,TH1403,2014,45124,43083,28866,640,670
TH14,TH1403,2015,28937,28300,18140,627,641
TH14,TH1403,2016,38279,37060,23755,621,641
TH14,TH1403,2017,40246,40110,25430,632,634
TH14,TH1403,2018,43333,43111,27117,626,629
TH14,TH1403,2020,34185,34071,21465,628,630
TH14,TH1404,2012,89009,88066,60237,677,684
TH14,TH1404,2013,87492,87472,61318,701,701
TH14,TH1404,2014,82464,82464,55498,673,673
TH14,TH1404,2015,82110,81778,56836,692,695
TH14,TH1404,2016,81117,80925,53815,663,665
TH14,TH1404,2017,85580,85091,58798,687,691
TH14,TH1404,2018,82607,82519,55123,667,668
TH14,TH1404,2020,82141,82068,55642,677,678
TH14,TH1405,2012,46607,46000,29072,624,632
TH14,TH1405,2013,42007,42007,27053,644,644
TH14,TH1405,2014,37635,37635,23447,623,623
TH14,TH1405,2015,33053,32899,20332,615,618
TH14,TH1405,2016,28484,28200,17822,626,632
TH14,TH1405,2017,29254,29064,18892,646,650
TH14,TH1405,2018,35372,35332,22895,647,648
TH14,TH1405,2020,33356,33222,21993,659,662
TH14,TH1406,2012,75047,74129,45737,609,617
TH14,TH1406,2013,69368,69144,42938,619,621
TH14,TH1406,2014,50558,50558,30638,606,606
TH14,TH1406,2015,44929,44422,27986,623,630
TH14,TH1406,2016,47175,46963,29681,629,632
TH14,TH1406,2017,37243,36808,23704,636,644
TH14,TH1406,2018,44243,44145,30328,685,687
TH14,TH1406,2020,42365,42255,26832,633,635
TH14,TH1407,2012,46061,44246,26769,581,605
TH14,TH1407,2013,40362,40148,25012,620,623
TH14,TH1407,2014,30586,28872,17525,573,607
TH14,TH1407,2015,21634,21540,12321,570,572
TH14,TH1407,2016,23544,22997,13269,564,577
TH14,TH1407,2017,24450,24335,14358,587,590
TH14,TH1407,2018,27050,26912,15044,556,559
TH14,TH1407,2020,29655,29476,16772,566,569
TH14,TH1408,2012,71047,70241,46429,653,661
TH14,TH1408,2013,71281,71163,48462,680,681
TH14,TH1408,2014,65499,63185,42587,650,674
TH14,TH1408,2015,62964,61911,41976,667,678
TH14,TH1408,2016,58454,57484,39204,671,682
TH14,TH1408,2017,59124,58610,40617,687,693
TH14,TH1408,2018,62124,61686,44044,709,714
TH14,TH1409,2012,46285,45848,29113,629,635
TH14,TH1409,2013,48668,48588,31291,643,644
TH14,TH1409,2014,45486,45486,28975,637,637
TH14,TH1409,2015,28506,28372,18073,634,637
TH14,TH1409,2016,37641,37147,23477,624,632
TH14,TH1409,2017,46728,46694,29137,624,624
TH14,TH1409,2018,43827,43769,26305,600,601
TH14,TH1409,2020,39765,39717,24227,609,610
TH14,TH1410,2012,88795,87747,61511,693,701
TH14,TH1410,2013,87772,87725,62723,715,715
TH14,TH1410,2014,82434,82434,58034,704,704
TH14,TH1410,2015,81668,81482,54348,665,667
TH14,TH1410,2016,73016,72983,48461,664,664
TH14,TH1410,2017,75286,75256,48916,650,650
TH14,TH1410,2018,77443,77407,52714,681,681
TH14,TH1410,2020,81590,81558,55296,678,678
TH14,TH1411,2012,74011,72679,47314,639,651
TH14,TH1411,2013,75638,74612,49319,652,661
TH14,TH1411,2014,61869,61117,39054,631,639
TH14,TH1411,2015,40494,40398,25491,630,631
TH14,TH1411,2016,49925,48985,30469,610,622
TH14,TH1411,2017,48954,48855,31316,640,641
TH14,TH1411,2018,48041,47902,28693,597,599
TH14,TH1411,2020,50762,50635,32153,633,635
TH14,TH1412,2012,100932,97318,63062,625,648
TH14,TH1412,2013,100876,100876,68091,675,675
TH14,TH1412,2014,100530,100530,67456,671,671
TH14,TH1412,2015,94799,94612,62349,658,659
TH14,TH1412,2016,82512,81397,52257,633,642
TH14,TH1412,2017,101959,101760,69502,682,683
TH14,TH1412,2018,103047,102789,72466,703,705
TH14,TH1412,2020,99719,99463,70519,707,709
TH14,TH1413,2012,67340,66206,46278,687,699
TH14,TH1413,2013,67345,67345,47882,711,711
TH14,TH1413,2014,59018,59018,41372,701,701
TH14,TH1413,2015,55258,55179,38239,692,693
TH14,TH1413,2016,56028,54916,36684,655,668
TH14,TH1413,2017,61886,61706,41096,664,666
TH14,TH1413,2018,59878,59637,41806,698,701
TH14,TH1414,2012,65754,64570,40227,612,623
TH14,TH1414,2013,59952,59952,38429,641,641
TH14,TH1414,2014,56679,56209,34793,614,619
TH14,TH1414,2015,32446,32412,19868,612,613
TH14,TH1414,2016,48743,48132,29361,602,610
TH14,TH1414,2017,48050,47992,29947,623,624
TH14,TH1414,2018,49023,48922,30674,626,627
TH14,TH1414,2020,48444,48323,31652,653,655
TH14,TH1415,2012,41412,39972,25942,626,649
TH14,TH1415,2013,28423,25710,16223,571,631
TH14,TH1415,2014,20633,20421,12293,596,602
TH14,TH1415,2015,16241,16131,9582,590,594
TH14,TH1415,2016,18584,18146,10597,570,584
TH14,TH1415,2017,23874,23755,13802,578,581
TH14,TH1415,2018,26950,26764,15255,566,570
TH14,TH1415,2020,31937,31766,16677,522,525
TH14,TH1416,2012,15684,15166,8872,566,585
TH14,TH1416,2013,15850,15618,9402,593,602
TH14,TH1416,2014,11726,11031,6398,546,580
TH14,TH1416,2015,10684,10532,6329,592,601
TH14,TH1416,2016,8142,8073,4747,583,588
TH14,TH1416,2017,9652,9615,5788,600,602
TH14,TH1416,2018,12701,12642,7497,590,593
TH14,TH1416,2020,13646,13583,8625,632,635
TH15,TH1501,2012,32831,32831,22292,679,679
TH15,TH1501,2013,30797,29097,19670,639,676
TH15,TH1501,2014,31505,31303,20347,646,650
TH15,TH1501,2015,19650,19370,12009,611,620
TH15,TH1501,2016,20747,20193,12701,612,629
TH15,TH1501,2017,24878,24478,16131,648,659
TH15,TH1501,2018,25349,25121,16957,669,675
TH15,TH1502,2012,21928,21928,14165,646,646
TH15,TH1502,2013,20314,19343,12631,622,653
TH15,TH1502,2014,24143,23615,13248,549,561
TH15,TH1502,2015,15803,15244,9009,570,591
TH15,TH1502,2016,16387,16191,9828,600,607
TH15,TH1502,2017,18269,18031,11089,607,615
TH15,TH1502,2018,21070,20877,13674,649,655
TH15,TH1502,2020,15686,15686,11294,720,720
TH15,TH1503,2012,14502,14502,9194,634,634
TH15,TH1503,2013,13839,13839,8732,631,631
TH15,TH1503,2014,13202,13202,8132,616,616
TH15,TH1503,2015,3227,3165,1880,583,594
TH15,TH1503,2016,4195,3807,2288,545,601
TH15,TH1503,2017,4225,3704,2252,533,608
TH15,TH1503,2018,6479,6422,4104,633,639
TH15,TH1503,2020,6875,6875,4916,715,715
TH15,TH1504,2020,60913,60635,42687,701,704
TH15,TH1505,2012,64132,64132,43802,683,683
TH15,TH1505,2013,65269,63849,43864,672,687
TH15,TH1505,2014,65657,65548,45031,686,687
TH15,TH1505,2015,62526,62201,42297,676,680
TH15,TH1505,2016,62194,61842,43166,694,698
TH15,TH1505,2017,71225,71121,49073,689,690
TH15,TH1505,2018,68878,68745,48122,699,700
TH15,TH1505,2020,53325,53199,37239,698,700
TH15,TH1506,2012,90770,90600,62695,691,692
TH15,TH1506,2013,88954,88283,60474,680,685
TH15,TH1506,2014,100400,99991,66694,664,667
TH15,TH1506,2015,99885,97276,63424,635,652
TH15,TH1506,2016,97419,96445,62689,643,650
TH15,TH1506,2017,99552,95888,63190,635,659
TH15,TH1506,2018,101103,100618,63490,628,631
TH15,TH1506,2020,79685,79365,49048,616,618
TH15,TH1507,2012,38979,38784,25248,648,651
TH15,TH1507,2013,39537,39104,25848,654,661
TH15,TH1507,2014,37560,35745,24628,656,689
TH15,TH1507,2015,35989,35748,24881,691,696
TH15,TH1507,2016,37383,37383,25234,675,675
TH15,TH1507,2017,48893,48738,33093,677,679
TH15,TH1507,2018,49850,49656,34461,691,694
TH15,TH1507,2020,31482,31482,21943,697,697
TH16,TH1601,2012,140000,137601,95220,680,692
TH16,TH1601,2013,139244,136217,91538,657,672
TH16,TH1601,2014,134866,130047,83880,622,645
TH16,TH1601,2015,110780,110331,67633,611,613
TH16,TH1601,2016,112180,108329,69114,616,638
TH16,TH1601,2017,125048,123772,76986,616,622
TH16,TH1601,2018,132342,131373,80269,607,611
TH16,TH1601,2020,130229,129590,74385,571,574
TH16,TH1602,2012,38693,35675,15483,400,434
TH16,TH1602,2013,39261,38761,17132,436,442
TH16,TH1602,2014,31916,21676,9494,297,438
TH16,TH1602,2015,33153,32837,14415,435,439
TH16,TH1602,2016,36297,35908,15979,440,445
TH16,TH1602,2017,37175,35767,15737,423,440
TH16,TH1602,2018,38080,37648,16377,430,435
TH16,TH1602,2020,39141,38495,13242,338,344
TH16,TH1603,2012,135524,132684,49757,367,375
TH16,TH1603,2013,135480,113244,44392,328,392
TH16,TH1603,2014,105810,83038,31721,300,382
TH16,TH1603,2015,122998,118917,40313,328,339
TH16,TH1603,2016,127046,126445,50831,400,402
TH16,TH1603,2017,126964,124829,51679,407,414
TH16,TH1603,2018,122312,119868,48067,393,401
TH16,TH1603,2020,128715,127165,43109,335,339
TH16,TH1604,2012,24837,24315,10431,420,429
TH16,TH1604,2013,24963,19946,8477,340,425
TH16,TH1604,2014,22994,18857,6694,291,355
TH16,TH1604,2015,24210,23827,8864,366,372
TH16,TH1604,2016,26397,25627,11122,421,434
TH16,TH1604,2017,30641,30168,12550,410,416
TH16,TH1604,2018,30417,29704,12179,400,410
TH16,TH1604,2020,36884,36285,14405,391,397
TH16,TH1605,2012,118950,118289,75823,637,641
TH16,TH1605,2013,119048,118948,81360,683,684
TH16,TH1605,2014,105150,92872,60831,579,655
TH16,TH1605,2015,78364,77839,51685,660,664
TH16,TH1605,2016,91195,87977,58769,644,668
TH16,TH1605,2017,108912,108912,72100,662,662
TH16,TH1605,2018,116935,115557,75459,645,653
TH16,TH1606,2012,194974,193114,124752,640,646
TH16,TH1606,2013,200608,195765,128226,639,655
TH16,TH1606,2014,187325,186684,120971,646,648
TH16,TH1606,2015,160127,154947,99786,623,644
TH16,TH1606,2016,220886,216964,140376,636,647
TH16,TH1606,2017,221155,217329,136917,619,630
TH16,TH1606,2018,220153,218962,137070,623,626
TH16,TH1606,2020,215637,212644,127799,593,601
TH16,TH1607,2012,330,327,123,373,376
TH16,TH1607,2013,337,264,101,300,383
TH16,TH1607,2014,313,313,103,329,329
TH16,TH1607,2015,129,129,43,333,333
TH16,TH1607,2016,72,72,26,361,361
TH16,TH1607,2017,100,100,36,360,360
TH16,TH1607,2018,143,143,51,357,357
TH16,TH1607,2020,311,311,106,341,341
TH16,TH1608,2012,37721,37103,15769,418,425
TH16,TH1608,2013,37956,37450,16515,435,441
TH16,TH1608,2014,38818,38818,16692,430,430
TH16,TH1608,2015,36475,36225,14562,399,402
TH16,TH1608,2016,36889,36803,15752,427,428
TH16,TH1608,2017,34537,33959,14331,415,422
TH16,TH1608,2018,35867,35738,14724,411,412
TH16,TH1609,2012,23967,23083,8148,340,353
TH16,TH1609,2013,24358,24354,10009,411,411
TH16,TH1609,2014,24505,24505,9925,405,405
TH16,TH1609,2015,29364,29281,11947,407,408
TH16,TH1609,2016,29808,29759,12410,416,417
TH16,TH1609,2017,30804,30784,12775,415,415
TH16,TH1609,2018,30974,30779,12527,404,407
TH16,TH1609,2020,41336,41183,12973,314,315
TH16,TH1610,2012,9993,7560,2563,256,339
TH16,TH1610,2013,11053,8563,3048,276,356
TH16,TH1610,2014,10928,10928,3169,290,290
TH16,TH1610,2015,8072,6432,1949,241,303
TH16,TH1610,2016,9264,9255,3054,330,330
TH16,TH1610,2017,8869,8152,2861,323,351
TH16,TH1610,2018,8830,8475,2873,325,339
TH16,TH1610,2020,10871,10662,3209,295,301
TH16,TH1611,2012,13791,13404,5616,407,419
TH16,TH1611,2013,13168,12624,5365,407,425
TH16,TH1611,2014,12771,12771,4048,317,317
TH16,TH1611,2015,11201,10333,3637,325,352
TH16,TH1611,2016,14554,14115,4573,314,324
TH16,TH1611,2017,12321,12107,4371,355,361
TH16,TH1611,2018,13344,13057,4648,348,356
TH17,TH1701,2012,47446,47214,34183,720,724
TH17,TH1701,2013,47898,47750,34428,719,721
TH17,TH1701,2014,44806,44722,30411,679,680
TH17,TH1701,2015,42063,41996,27087,644,645
TH17,TH1701,2016,39307,39085,26539,675,679
TH17,TH1701,2017,44736,44389,30185,675,680
TH17,TH1701,2018,45702,45634,31807,696,697
TH17,TH1702,2012,76996,76665,52516,682,685
TH17,TH1702,2013,76597,76517,52491,685,686
TH17,TH1702,2014,73402,73366,49595,676,676
TH17,TH1702,2015,72632,72526,48955,674,675
TH17,TH1702,2016,71092,71067,48326,680,680
TH17,TH1702,2017,71894,71867,50235,699,699
TH17,TH1702,2018,74380,74359,53390,718,718
TH17,TH1702,2020,60987,60941,43878,719,720
TH17,TH1703,2012,32038,31570,21215,662,672
TH17,TH1703,2013,32457,32010,21863,674,683
TH17,TH1703,2014,35280,35280,23567,668,668
TH17,TH1703,2015,29813,29744,20345,682,684
TH17,TH1703,2016,31946,31886,22543,706,707
TH17,TH1703,2017,32127,32083,22490,700,701
TH17,TH1703,2018,33293,33237,24263,729,730
TH17,TH1703,2020,32784,32739,23245,709,710
TH17,TH1704,2012,26659,25840,17029,639,659
TH17,TH1704,2013,27949,27891,18520,663,664
TH17,TH1704,2014,24306,24275,15366,632,633
TH17,TH1704,2015,19233,19206,11889,618,619
TH17,TH1704,2016,20812,20596,12975,623,630
TH17,TH1704,2017,24518,24340,16795,685,690
TH17,TH1704,2018,25181,25124,17662,701,703
TH17,TH1704,2020,17387,17308,11596,667,670
TH17,TH1705,2012,11763,11597,7608,647,656
TH17,TH1705,2013,14058,14038,9139,650,651
TH17,TH1705,2014,13258,13258,8750,660,660
TH17,TH1705,2015,10236,10205,6766,661,663
TH17,TH1705,2016,11061,11042,7409,670,671
TH17,TH1705,2017,12658,12001,8221,649,685
TH17,TH1705,2018,12595,12543,9119,724,727
TH17,TH1706,2012,122072,121706,86898,712,714
TH17,TH1706,2013,117258,117058,84282,719,720
TH17,TH1706,2014,116531,116531,81106,696,696
TH17,TH1706,2015,92495,92396,64954,702,703
TH17,TH1706,2016,113434,106206,73919,652,696
TH17,TH1706,2017,139075,137802,97426,701,707
TH17,TH1706,2018,142218,141384,105472,742,746
TH18,TH1801,2012,102759,102538,75058,730,732
TH18,TH1801,2013,106259,106109,78415,738,739
TH18,TH1801,2014,97352,97352,70191,721,721
TH18,TH1801,2015,92264,92221,65661,712,712
TH18,TH1801,2016,96989,96493,66773,688,692
TH18,TH1801,2017,108689,108435,76121,700,702
TH18,TH1801,2018,112239,112181,79424,708,708
TH18,TH1801,2020,100688,100479,66015,656,657
TH18,TH1802,2012,75491,75447,49041,650,650
TH18,TH1802,2013,78962,78778,52387,663,665
TH18,TH1802,2014,76502,73786,49953,653,677
TH18,TH1802,2015,73464,73383,48066,654,655
TH18,TH1802,2016,74868,74631,49480,661,663
TH18,TH1802,2017,77811,73783,46852,602,635
TH18,TH1802,2018,80283,79662,52258,651,656
TH18,TH1803,2012,92677,91773,56349,608,614
TH18,TH1803,2013,95286,94841,59560,625,628
TH18,TH1803,2014,96239,96239,60534,629,629
TH18,TH1803,2015,74636,74511,44334,594,595
TH18,TH1803,2016,81403,80565,50353,619,625
TH18,TH1803,2017,82422,82292,51762,628,629
TH18,TH1803,2018,90814,90584,54803,603,605
TH18,TH1804,2012,102141,101023,72130,706,714
TH18,TH1804,2013,101144,100585,72522,717,721
TH18,TH1804,2014,101281,101010,72020,711,713
TH18,TH1804,2015,95775,95662,67729,707,708
TH18,TH1804,2016,99803,91415,64448,646,705
TH18,TH1804,2017,101753,100451,69713,685,694
TH18,TH1804,2018,105398,104782,71671,680,684
TH18,TH1804,2020,107208,106684,68918,643,646
TH18,TH1805,2012,145423,145263,105606,726,727
TH18,TH1805,2013,143792,143522,106206,739,740
TH18,TH1805,2014,143147,143147,102207,714,714
TH18,TH1805,2015,132878,132777,93608,704,705
TH18,TH1805,2016,149550,148207,104041,696,702
TH18,TH1805,2017,207704,207369,147647,711,712
TH18,TH1805,2018,210370,210253,149280,710,710
TH18,TH1805,2020,204780,204470,139857,683,684
